,best_bid,best_offer,daily_return,date,days_mat,delta,exdate,forward_price,impl_volatility,months_mat,price,secid,strike_price,symbol,adj_prices
368,743.4,749.3,0.0,2019-01-02,44,,2019-02-15,2513.948566,,1,746.3499999999999,108105.0,1760000.0,SPX 190215C1760000,746.3499999999999
7929,689.5,693.5,-0.07349098948214638,2019-01-03,43,0.983885,2019-02-15,2451.519745,0.464573,1,691.5,108105.0,1760000.0,SPX 190215C1760000,691.5
15455,768.9,773.0,0.11489515545914686,2019-01-04,42,,2019-02-15,2535.630011,,1,770.95,108105.0,1760000.0,SPX 190215C1760000,770.95
23099,788.3,792.1,0.024969193851741345,2019-01-07,39,,2019-02-15,2553.044042,,1,790.2,108105.0,1760000.0,SPX 190215C1760000,790.2
30555,810.8,814.6,0.028473804100227706,2019-01-08,38,,2019-02-15,2577.68392,,1,812.7,108105.0,1760000.0,SPX 190215C1760000,812.6999999999999
37914,821.0,824.7,0.01248923341946595,2019-01-09,37,,2019-02-15,2587.774755,,1,822.85,108105.0,1760000.0,SPX 190215C1760000,822.8499999999999
45269,832.8,838.0,0.015251868505802957,2019-01-10,36,,2019-02-15,2599.250023,,1,835.4,108105.0,1760000.0,SPX 190215C1760000,835.3999999999999
52731,831.3,834.9,-0.0027531721331099934,2019-01-11,35,,2019-02-15,2598.696476,,1,833.0999999999999,108105.0,1760000.0,SPX 190215C1760000,833.0999999999998
60292,820.5,823.7,-0.01320369703516966,2019-01-14,32,,2019-02-15,2584.718702,,1,822.1,108105.0,1760000.0,SPX 190215C1760000,822.0999999999999
67621,845.8,848.9,0.03071402505777865,2019-01-15,31,,2019-02-15,2612.331567,,1,847.3499999999999,108105.0,1760000.0,SPX 190215C1760000,847.3499999999997
74873,852.0,856.8,0.008320056647194374,2019-01-16,30,,2019-02-15,2618.043467,,0,854.4,108105.0,1760000.0,SPX 190215C1760000,854.3999999999999
82193,871.7,875.1,0.022237827715355873,2019-01-17,29,,2019-02-15,2637.782241,,0,873.4000000000001,108105.0,1760000.0,SPX 190215C1760000,873.3999999999999
89096,904.9,908.1,0.03789787039157311,2019-01-18,28,,2019-02-15,2672.43432,,0,906.5,108105.0,1760000.0,SPX 190215C1760000,906.4999999999998
96156,860.7,867.7,-0.04666298952013237,2019-01-22,24,,2019-02-15,2634.302485,,0,864.2,108105.0,1760000.0,SPX 190215C1760000,864.1999999999998
103586,874.1,877.3,0.013307104836843386,2019-01-23,23,,2019-02-15,2639.993367,,0,875.7,108105.0,1760000.0,SPX 190215C1760000,875.6999999999998
110840,879.2,882.4,0.005823912298732248,2019-01-24,22,,2019-02-15,2643.53285,,0,880.8,108105.0,1760000.0,SPX 190215C1760000,880.7999999999996
118067,899.0,902.1,0.02242279745685738,2019-01-25,21,,2019-02-15,2665.875126,,0,900.55,108105.0,1760000.0,SPX 190215C1760000,900.5499999999996
125702,787.4,790.6,0.0,2019-01-28,46,,2019-03-15,2646.60383,,1,789.0,108105.0,1850000.0,SPX 190315C1850000,900.5499999999996
132781,784.3,787.1,-0.0041825095057033135,2019-01-29,45,,2019-03-15,2642.671775,,1,785.7,108105.0,1850000.0,SPX 190315C1850000,896.7834410646385
139824,825.7,828.4,0.05262822960417446,2019-01-30,44,,2019-03-15,2683.659277,,1,827.05,108105.0,1850000.0,SPX 190315C1850000,943.9795659062099
146867,852.5,855.7,0.0327066078229854,2019-01-31,43,,2019-03-15,2706.669767,,1,854.1,108105.0,1850000.0,SPX 190315C1850000,974.8539353612164
154013,850.3,854.2,-0.00216602271396793,2019-02-01,42,,2019-03-15,2708.984755,,1,852.25,108105.0,1850000.0,SPX 190315C1850000,972.7423795944229
161253,867.6,870.8,0.01988853036080962,2019-02-04,39,,2019-03-15,2727.263975,,1,869.2,108105.0,1850000.0,SPX 190315C1850000,992.0887959442327
168270,881.0,884.1,0.015358950759318812,2019-02-05,38,,2019-03-15,2740.007903,,1,882.55,108105.0,1850000.0,SPX 190315C1850000,1007.3262389100121
175312,876.8,880.0,-0.0047022831567615775,2019-02-06,37,,2019-03-15,2733.827504,,1,878.4,108105.0,1850000.0,SPX 190315C1850000,1002.5895057034215
182354,848.9,852.0,-0.03181921675774124,2019-02-07,36,,2019-03-15,2708.110623,,1,850.45,108105.0,1850000.0,SPX 190315C1850000,970.6878929024077
189427,849.9,853.1,0.001234640484449434,2019-02-08,35,,2019-03-15,2709.86803,,1,851.5,108105.0,1850000.0,SPX 190315C1850000,971.8863434727499
196612,855.6,858.7,0.006635349383441014,2019-02-11,32,,2019-03-15,2711.508693,,1,857.1500000000001,108105.0,1850000.0,SPX 190315C1850000,978.3351489226866
203583,890.1,893.2,0.04024966458612855,2019-02-12,31,,2019-03-15,2746.413124,,1,891.6500000000001,108105.0,1850000.0,SPX 190315C1850000,1017.7128105196448
210509,899.2,902.3,0.01020579823921941,2019-02-13,30,,2019-03-15,2754.460952,,0,900.75,108105.0,1850000.0,SPX 190315C1850000,1028.0993821292773
217530,893.6,896.8,-0.006161532056619401,2019-02-14,29,,2019-03-15,2747.064449,,0,895.2,108105.0,1850000.0,SPX 190315C1850000,1021.7647148288971
224180,920.9,924.0,0.030440125111706795,2019-02-15,28,,2019-03-15,2776.860603,,0,922.45,108105.0,1850000.0,SPX 190315C1850000,1052.867360583016
230850,926.0,929.1,0.005528754946067416,2019-02-19,24,,2019-03-15,2780.792269,,0,927.55,108105.0,1850000.0,SPX 190315C1850000,1058.6884062103925
237523,931.1,934.2,0.005498355883780004,2019-02-20,23,,2019-03-15,2785.680752,,0,932.6500000000001,108105.0,1850000.0,SPX 190315C1850000,1064.5094518377691
244439,921.0,924.1,-0.01082935720795597,2019-02-21,22,,2019-03-15,2775.81048,,0,922.55,108105.0,1850000.0,SPX 190315C1850000,1052.9814987325726
251351,939.4,942.5,0.01994471844344492,2019-02-22,21,,2019-03-15,2793.554644,,0,940.95,108105.0,1850000.0,SPX 190315C1850000,1073.9829182509504
293220,833.7,840.3,0.0,2019-03-04,45,,2019-04-18,2795.166403,,1,837.0,108105.0,1955000.0,SPX 190418C1955000,1073.9829182509504
299982,837.0,840.1,0.0018518518518517713,2019-03-05,44,0.977609,2019-04-18,2792.072601,0.530492,1,838.55,108105.0,1955000.0,SPX 190418C1955000,1075.9717755069705
306724,817.2,820.3,-0.02361218770496687,2019-03-06,43,0.984063,2019-04-18,2773.829287,0.486761,1,818.75,108105.0,1955000.0,SPX 190418C1955000,1050.5657279784534
313484,792.6,797.3,-0.029068702290076298,2019-03-07,42,0.990517,2019-04-18,2751.241049,0.431418,1,794.95,108105.0,1955000.0,SPX 190418C1955000,1020.0271455956905
320317,787.6,790.7,-0.007296056355745595,2019-03-08,41,0.990331,2019-04-18,2745.333941,0.436165,1,789.1500000000001,108105.0,1955000.0,SPX 190418C1955000,1012.5849700570341
327255,825.7,831.8,0.050180574035354475,2019-03-11,38,0.994468,2019-04-18,2785.484722,0.425909,1,828.75,108105.0,1955000.0,SPX 190418C1955000,1063.3970651140683
334110,835.3,838.0,0.00953242835595769,2019-03-12,37,0.996984,2019-04-18,2793.674154,0.383001,1,836.65,108105.0,1955000.0,SPX 190418C1955000,1073.5338214512037
340923,853.6,858.3,0.023068188609334905,2019-03-13,36,0.996826,2019-04-18,2812.876331,0.402967,1,855.95,108105.0,1955000.0,SPX 190418C1955000,1098.2983021229402
347739,852.0,856.5,-0.0019860973187686426,2019-03-14,35,0.992214,2019-04-18,2810.391173,0.489372,1,854.25,108105.0,1955000.0,SPX 190418C1955000,1096.1169748098857
354102,866.4,868.7,0.015569212759730666,2019-03-15,34,0.99686,2019-04-18,2824.364802,0.422307,1,867.55,108105.0,1955000.0,SPX 190418C1955000,1113.182653200253
360568,877.4,879.2,0.012391216644573877,2019-03-18,31,0.99525,2019-04-18,2834.700556,0.489934,1,878.3,108105.0,1955000.0,SPX 190418C1955000,1126.9763406210388
366779,877.0,879.1,-0.0002846407833314579,2019-03-19,30,0.994818,2019-04-18,2834.308674,0.507303,0,878.05,108105.0,1955000.0,SPX 190418C1955000,1126.6555571926485
373506,871.6,874.6,-0.005637492170149638,2019-03-20,29,0.980087,2019-04-18,2826.003965,0.668478,0,873.1,108105.0,1955000.0,SPX 190418C1955000,1120.3040453105193
380237,899.5,901.6,0.031439697629137564,2019-03-21,28,0.994111,2019-04-18,2856.567826,0.551787,0,900.55,108105.0,1955000.0,SPX 190418C1955000,1155.5260657477816
387051,846.4,849.5,-0.05840875020820602,2019-03-22,27,0.986507,2019-04-18,2802.367984,0.623411,0,847.95,108105.0,1955000.0,SPX 190418C1955000,1088.0332324144483
393984,844.1,847.1,-0.002771389822513126,2019-03-25,24,0.987066,2019-04-18,2799.921735,0.657352,0,845.6,108105.0,1955000.0,SPX 190418C1955000,1085.0178681875789
400747,861.5,864.2,0.02039971617786196,2019-03-26,23,,2019-04-18,2819.94633,,0,862.85,108105.0,1955000.0,SPX 190418C1955000,1107.1519247465144
407464,848.0,850.7,-0.015645824882656312,2019-03-27,22,,2019-04-18,2806.745129,,0,849.35,108105.0,1955000.0,SPX 190418C1955000,1089.8296196134345
414203,860.4,862.4,0.014187319715076141,2019-03-28,21,0.992784,2019-04-18,2816.670319,0.644705,0,861.4,108105.0,1955000.0,SPX 190418C1955000,1105.29138086185
427822,856.6,858.9,0.0,2019-04-01,46,0.99401,2019-05-17,2869.990623,0.390145,1,857.75,108105.0,2010000.0,SPX 190517C2010000,1105.29138086185
434371,856.3,858.5,-0.0004080443019528479,2019-04-02,45,0.997074,2019-05-17,2869.985396,0.330746,1,857.4,108105.0,2010000.0,SPX 190517C2010000,1104.8403730118919
441031,862.6,864.5,0.00717284814555641,2019-04-03,44,0.996545,2019-05-17,2876.027841,0.355133,1,863.55,108105.0,2010000.0,SPX 190517C2010000,1112.765225232586
447693,867.3,869.0,0.005326848474321189,2019-04-04,43,,2019-05-17,2882.033429,,1,868.15,108105.0,2010000.0,SPX 190517C2010000,1118.6927569748939
454430,879.8,881.9,0.014628808385647618,2019-04-05,42,,2019-05-17,2895.352713,,1,880.8499999999999,108105.0,2010000.0,SPX 190517C2010000,1135.0578989590915
461292,882.8,884.6,0.0032355111539992265,2019-04-08,39,,2019-05-17,2898.317235,,1,883.7,108105.0,2010000.0,SPX 190517C2010000,1138.7303914516085
468071,864.0,866.1,-0.021104447210591903,2019-04-09,38,,2019-05-17,2880.698001,,1,865.05,108105.0,2010000.0,SPX 190517C2010000,1114.6981160181215
474822,876.1,878.0,0.013872030518467193,2019-04-10,37,,2019-05-17,2890.508142,,1,877.05,108105.0,2010000.0,SPX 190517C2010000,1130.1612423024028
481579,877.5,879.4,0.0015962601904111473,2019-04-11,36,0.997872,2019-05-17,2890.527592,0.361709,1,878.45,108105.0,2010000.0,SPX 190517C2010000,1131.9652737022357
488361,895.5,897.5,0.02054755535317887,2019-04-12,35,,2019-05-17,2909.553662,,1,896.5,108105.0,2010000.0,SPX 190517C2010000,1155.2243928215087
